iter	Passed	Remaining
0	294	29189
1	449	22006
2	489	15829
3	550	13210
4	608	11569
5	784	12286
6	1001	13311
7	1234	14193
8	1473	14901
9	1617	14557
10	1715	13879
11	1868	13700
12	1951	13060
13	2148	13195
14	2174	12323
15	2229	11703
16	2254	11007
17	2379	10840
18	2502	10669
19	2528	10115
20	2552	9603
21	2578	9143
22	2602	8714
23	2708	8577
24	2824	8474
25	2962	8432
26	3074	8312
27	3149	8098
28	3204	7844
29	3332	7776
30	3363	7485
31	3411	7250
32	3435	6976
33	3460	6718
34	3483	6468
35	3533	6282
36	3558	6058
37	3589	5857
38	3652	5713
39	3759	5638
40	3928	5652
41	4127	5699
42	4247	5629
43	4316	5493
44	4441	5428
45	4528	5315
46	4574	5158
47	4623	5008
48	4686	4878
49	4819	4819
50	4851	4660
51	5000	4616
52	5174	4589
53	5303	4517
54	5372	4395
55	5402	4244
56	5535	4175
57	5565	4030
58	5605	3895
59	5764	3842
60	5857	3744
61	5956	3650
62	5993	3520
63	6025	3389
64	6072	3269
65	6103	3144
66	6134	3021
67	6161	2899
68	6200	2785
69	6223	2667
70	6250	2553
71	6280	2442
72	6336	2343
73	6485	2278
74	6605	2201
75	6732	2125
76	6759	2018
77	6799	1917
78	6831	1815
79	6891	1722
80	6963	1633
81	7000	1536
82	7109	1456
83	7157	1363
84	7347	1296
85	7564	1231
86	7672	1146
87	7738	1055
88	7764	959
89	7799	866
90	7861	777
91	7973	693
92	8009	602
93	8033	512
94	8070	424
95	8101	337
96	8137	251
97	8190	167
98	8218	83
99	8244	0
